gene_callers_id	detection
232181	DETECTED
232182	DETECTED
232183	DETECTED
232184	DETECTED
232185	DETECTED
232186	DETECTED
232187	DETECTED
232188	DETECTED
232189	DETECTED
232190	DETECTED
232191	DETECTED
232192	DETECTED
232193	DETECTED
232194	DETECTED
232195	DETECTED
232196	DETECTED
232197	DETECTED
232198	DETECTED
232199	DETECTED
232200	DETECTED
232201	DETECTED
232202	DETECTED
232203	DETECTED
232204	DETECTED
232205	DETECTED
232206	DETECTED
232207	DETECTED
232208	DETECTED
232209	DETECTED
232210	DETECTED
232211	DETECTED
232212	DETECTED
232213	DETECTED
232214	DETECTED
232215	DETECTED
232216	DETECTED
232217	DETECTED
232218	DETECTED
232219	DETECTED
232220	DETECTED
232221	DETECTED
